seed,data,model,pred_len,train_time,mse,mae,mape,total inference time,avg inference time,avg_sample_time
1234,Line16,XGBoost,14,0.217391014,27.81714619,4.559351992,15.10044096,,,
1234,Line16,XGBoost,28,0.205421209,10.80236834,2.890770416,10.24715604,,,
1234,Line17,XGBoost,1,0.153504133,17.94469387,4.236117783,29.33599572,,,
1234,Line17,XGBoost,7,0.141112804,8.223189789,2.480967751,17.38430492,,,
1234,Line17,XGBoost,14,0.223347425,10.84466635,2.89086747,20.49954638,,,
1234,Line17,XGBoost,28,0.199450731,7.867795501,2.456603293,17.41218768,,,
1234,Line19,XGBoost,1,0.132053375,1.951127404,1.396827621,7.286529063,,,
1234,Line19,XGBoost,7,0.179502249,3.189680957,1.639640732,9.31307026,,,
1234,Line19,XGBoost,14,0.256694317,25.80813269,4.465077967,24.24659845,,,
1234,Line19,XGBoost,28,0.215373278,38.83370989,5.518711011,29.97352163,,,
5678,Line1,TimeMixer,1,4.81599,109.19566,6.98947,0.08784,0.03378,0.00169,0.00025
5678,Line1,TimeMixer,7,4.73113,148.5917,8.86449,0.11289,0.02854,0.0015,0.00022
5678,Line1,TimeMixer,14,4.84917,163.54955,9.51116,0.12298,0.02383,0.00132,0.00019
5678,Line1,TimeMixer,28,4.73653,193.06126,10.57565,0.13849,0.02211,0.00138,0.0002
5678,Line1,SCINet,1,36.76979,71.69257,5.92259,0.07468,0.25233,0.01262,0.00186
5678,Line1,SCINet,7,26.16898,118.55022,7.69686,0.09663,0.19303,0.01016,0.00148
